2020-10-09 13:36:17.117 [main] INFO  com.example.zhw.SpringMytatisApplication - Starting SpringMytatisApplication on RD-INTERNET2 with PID 15088 (D:\zhangwei\github\springlearn\spring-mytatis\target\classes started by rd217 in D:\zhangwei\github\springlearn)
2020-10-09 13:36:17.126 [main] INFO  com.example.zhw.SpringMytatisApplication - The following profiles are active: dev,common
2020-10-09 13:36:18.998 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-10-09 13:36:19.002 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-10-09 13:36:19.040 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2020-10-09 13:36:19.736 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$f5896845] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-09 13:36:19.784 [main] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2020-10-09 13:36:19.807 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.example.zhw.config.RedisConfig$$EnhancerBySpringCGLIB$$23ae0e72] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-09 13:36:20.414 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-10-09 13:36:20.428 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-10-09 13:36:20.429 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-09 13:36:20.430 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-10-09 13:36:20.567 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-09 13:36:20.568 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3347 ms
2020-10-09 13:36:21.722 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2020-10-09 13:36:21.724 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2020-10-09 13:36:21.725 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet CXFServlet was not registered (possibly already registered?)
2020-10-09 13:36:27.916 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1,zhw} inited
2020-10-09 13:36:28.714 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2020-10-09 13:36:28.841 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-10-09 13:36:29.055 [main] INFO  o.a.c.w.s.factory.ReflectionServiceFactoryBean - Creating Service {http://webservice.business.mixpay.com}WebServiceDemoService from class com.example.zhw.webservice.WebServiceDemoService
2020-10-09 13:36:29.583 [main] INFO  org.apache.cxf.endpoint.ServerImpl - Setting the server's publish address to be /webservice
2020-10-09 13:36:29.746 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-09 13:36:30.647 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b8b9b2d, org.springframework.security.web.context.SecurityContextPersistenceFilter@584f4ca5, org.springframework.security.web.header.HeaderWriterFilter@460df441, org.springframework.security.web.csrf.CsrfFilter@5ca10d0e, org.springframework.security.web.authentication.logout.LogoutFilter@43255f91, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@57df93c1, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1360ef8d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@7a7bb083, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1f7b8d59, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5bc1903, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@41538150, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2178d296, org.springframework.security.web.session.SessionManagementFilter@7d65c0ac, org.springframework.security.web.access.ExceptionTranslationFilter@5edaa572, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@351fadfa]
2020-10-09 13:36:30.868 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-10-09 13:36:30.888 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-10-09 13:36:30.963 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-10-09 13:36:31.075 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: helloUsingGET_1
2020-10-09 13:36:31.215 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-10-09 13:36:31.252 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-10-09 13:36:31.257 [main] INFO  com.example.zhw.SpringMytatisApplication - Started SpringMytatisApplication in 15.177 seconds (JVM running for 16.281)
2020-10-09 13:36:31.597 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-10-09 13:36:31.598 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-10-09 13:36:31.611 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 13 ms
2020-10-09 13:36:32.946 [boundedElastic-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-10-09 13:36:32.948 [boundedElastic-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-10-09 15:56:59.843 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-10-09 15:56:59.863 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-10-09 16:31:15.477 [main] INFO  com.example.zhw.SpringMytatisApplication - Starting SpringMytatisApplication on RD-INTERNET2 with PID 15996 (D:\zhangwei\github\springlearn\spring-mytatis\target\classes started by rd217 in D:\zhangwei\github\springlearn)
2020-10-09 16:31:15.482 [main] INFO  com.example.zhw.SpringMytatisApplication - The following profiles are active: dev,common
2020-10-09 16:31:17.868 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-10-09 16:31:17.872 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-10-09 16:31:17.916 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2020-10-09 16:31:18.525 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$8e3d3305] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-09 16:31:18.577 [main] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2020-10-09 16:31:18.604 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.example.zhw.config.RedisConfig$$EnhancerBySpringCGLIB$$bc61d932] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-09 16:31:19.245 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-10-09 16:31:19.260 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-10-09 16:31:19.261 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-09 16:31:19.262 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-10-09 16:31:19.406 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-09 16:31:19.407 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3847 ms
2020-10-09 16:31:20.575 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2020-10-09 16:31:20.578 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2020-10-09 16:31:20.578 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet CXFServlet was not registered (possibly already registered?)
2020-10-09 16:31:26.698 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1,zhw} inited
2020-10-09 16:31:27.542 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2020-10-09 16:31:27.681 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-10-09 16:31:27.924 [main] INFO  o.a.c.w.s.factory.ReflectionServiceFactoryBean - Creating Service {http://webservice.business.mixpay.com}WebServiceDemoService from class com.example.zhw.webservice.WebServiceDemoService
2020-10-09 16:31:28.501 [main] INFO  org.apache.cxf.endpoint.ServerImpl - Setting the server's publish address to be /webservice
2020-10-09 16:31:28.673 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-09 16:31:29.740 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@ea40c9f, org.springframework.security.web.context.SecurityContextPersistenceFilter@8de4206, org.springframework.security.web.header.HeaderWriterFilter@33197c2f, org.springframework.security.web.csrf.CsrfFilter@3ca9d3b2, org.springframework.security.web.authentication.logout.LogoutFilter@62f73b0c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@f2b4303, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4bec6682, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@5d782a4a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@519e67e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57fae911, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1239c268, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@cc91fe3, org.springframework.security.web.session.SessionManagementFilter@5542418c, org.springframework.security.web.access.ExceptionTranslationFilter@40ebb56, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@57777c23]
2020-10-09 16:31:29.973 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-10-09 16:31:29.996 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-10-09 16:31:30.076 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-10-09 16:31:30.203 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: helloUsingGET_1
2020-10-09 16:31:30.298 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-10-09 16:31:30.337 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-10-09 16:31:30.342 [main] INFO  com.example.zhw.SpringMytatisApplication - Started SpringMytatisApplication in 15.928 seconds (JVM running for 17.021)
2020-10-09 16:31:30.630 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-10-09 16:31:30.631 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-10-09 16:31:30.654 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 23 ms
2020-10-09 16:31:31.944 [boundedElastic-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-10-09 16:31:31.947 [boundedElastic-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-10-09 17:05:38.971 [main] INFO  com.example.zhw.SpringMytatisApplication - Starting SpringMytatisApplication on RD-INTERNET2 with PID 11776 (D:\zhangwei\github\springlearn\spring-mytatis\target\classes started by rd217 in D:\zhangwei\github\springlearn)
2020-10-09 17:05:38.975 [main] INFO  com.example.zhw.SpringMytatisApplication - The following profiles are active: dev,common
2020-10-09 17:05:40.850 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-10-09 17:05:40.854 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-10-09 17:05:40.893 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2020-10-09 17:05:41.559 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$91dd3ba5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-09 17:05:41.612 [main] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2020-10-09 17:05:41.636 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.example.zhw.config.RedisConfig$$EnhancerBySpringCGLIB$$c001e1d2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-09 17:05:42.220 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-10-09 17:05:42.235 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-10-09 17:05:42.236 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-09 17:05:42.237 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-10-09 17:05:42.382 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-09 17:05:42.382 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3341 ms
2020-10-09 17:05:43.567 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2020-10-09 17:05:43.569 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2020-10-09 17:05:43.569 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet CXFServlet was not registered (possibly already registered?)
2020-10-09 17:05:48.879 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1,zhw} inited
2020-10-09 17:05:49.713 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2020-10-09 17:05:49.853 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
